,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
20,21,1,main,205,205,2141.4372,2141.44,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3259367,"POLYGON ((121.54995138 15.76666036, 121.554118045 15.76666036, 121.554118045 15.762493695, 121.54995138 15.762493695, 121.54995138 15.76666036))"
21,22,1,main,205,205,2132.9546,2132.97,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3259368,"POLYGON ((121.554118045 15.76666036, 121.55828471 15.76666036, 121.55828471 15.762493695, 121.554118045 15.762493695, 121.554118045 15.76666036))"
22,23,1,main,205,205,3043.20415,3043.215,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3259369,"POLYGON ((121.55828471 15.76666036, 121.562451375 15.76666036, 121.562451375 15.762493695, 121.55828471 15.762493695, 121.55828471 15.76666036))"
23,24,1,main,205,205,3512.01795,3512.005,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3259370,"POLYGON ((121.562451375 15.76666036, 121.56661804 15.76666036, 121.56661804 15.762493695, 121.562451375 15.762493695, 121.562451375 15.76666036))"
24,25,1,main,205,205,274.13425,274.12,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261870,"POLYGON ((121.504118065 15.762493695, 121.50828473 15.762493695, 121.50828473 15.75832703, 121.504118065 15.75832703, 121.504118065 15.762493695))"
25,26,1,main,205,205,420.7837,420.77,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261876,"POLYGON ((121.529118055 15.762493695, 121.53328472 15.762493695, 121.53328472 15.75832703, 121.529118055 15.75832703, 121.529118055 15.762493695))"
26,27,1,main,205,205,875.4521999999999,875.455,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261879,"POLYGON ((121.54161805 15.762493695, 121.545784715 15.762493695, 121.545784715 15.75832703, 121.54161805 15.75832703, 121.54161805 15.762493695))"
27,28,1,main,205,205,1417.91881,1417.92,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261880,"POLYGON ((121.545784715 15.762493695, 121.54995138 15.762493695, 121.54995138 15.75832703, 121.545784715 15.75832703, 121.545784715 15.762493695))"
28,29,1,main,205,205,3047.4115,3047.415,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261881,"POLYGON ((121.54995138 15.762493695, 121.554118045 15.762493695, 121.554118045 15.75832703, 121.54995138 15.75832703, 121.54995138 15.762493695))"
29,30,1,main,205,205,2861.53875,2861.53,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3261882,"POLYGON ((121.554118045 15.762493695, 121.55828471 15.762493695, 121.55828471 15.75832703, 121.554118045 15.75832703, 121.554118045 15.762493695))"
